KP,Er
1758.8366,-10.0080875474726
1766.3365,-9.96758606012936
1773.8365,-9.93651146984017
1781.3364,-9.91486377660507
1788.8363,-9.90187918066276
1796.3362,-9.8905628841991
1803.8361,-9.87926668772916
1811.336,-9.8679503912655
1818.836,-9.85663409480184
1826.3359,-9.84533789833191
1833.8358,-9.83402160186825
1841.3357,-9.82270530540459
1848.8356,-9.81140910893465
1856.3355,-9.800092812471
1863.8355,-9.78879661600106
1871.3354,-9.7774803195374
1878.8353,-9.76616402307374
1886.3352,-9.7548678266038
1893.8351,-9.74355153014015
1901.335,-9.73225533367021
1908.835,-9.73301913343152
1916.3349,-9.75641552612015
1923.8348,-9.80240431174865
1931.3347,-9.87056339044894
1938.8346,-9.94593836689426
1946.3346,-10.0213133433396
1953.8345,-10.0966883197849
1961.3344,-10.1720833962239
1968.8343,-10.2474583726693
1976.3342,-10.3228333491146
1983.8341,-10.3982083255599
1991.3341,-10.4735833020052
1998.834,-10.5489783784443
2006.3339,-10.6243533548896
2013.8338,-10.6997283313349
2021.3337,-10.7751033077802
2028.8336,-10.8504983842193
2036.3336,-10.9258733606646
2043.8335,-11.0012483371099
2051.3334,-11.0766233135552
2058.8333,-11.1519982900005
2066.3332,-11.2273933664396
2073.8331,-11.3027683428849
2081.3331,-11.3781433193302
2088.833,-11.4535182957755
2096.3329,-11.5289133722146
2103.8328,-11.6042883486599
2111.3327,-11.6796633251052
2118.8327,-11.7550383015505
2126.3326,-11.8304132779959
2133.8325,-11.9058083544349
2141.3324,-11.9811833308802
2148.8323,-12.0565583073255
2156.3322,-12.1319332837708
2163.8322,-12.2073283602099
2171.3321,-12.2827033366552
2178.832,-12.3580783131005
2186.3319,-12.4334532895458
2193.8318,-12.5088282659912
2201.3317,-12.5719824462555
2208.8317,-12.6125241335862
2216.3316,-12.6304734279771
2223.8315,-12.6257901294406
2231.3314,-12.5985144379642
2238.8313,-12.5486061535606
2246.3312,-12.4760853762233
2253.8312,-12.3809722059462
2261.3311,-12.2632264427417
2268.831,-12.1228882865974
2276.3309,-11.9599175375258
2283.8308,-11.7743543955143
2291.3307,-11.5661586605754
2298.8307,-11.3410186309317
2306.3306,-11.1149138015894
2313.8305,-10.8887888722535
2321.3304,-10.6626840429112
2328.8303,-10.4365591135753
2336.3303,-10.210454284233
2343.8302,-9.9843494548908
2351.3301,-9.75822452555484
2358.83,-9.5321196962126
2366.3299,-9.30599476687664
2373.8298,-9.07988993753439
2381.3298,-8.85378510819215
2388.8297,-8.62766017885619
2396.3296,-8.40155534951395
2403.8295,-8.17543042017799
2411.3294,-7.94932559083575
2418.8293,-7.72320066149979
2426.3293,-7.49709583215755
2433.8292,-7.27099100281531
2441.3291,-7.04486607347935
2448.829,-6.81876124413711
2456.3289,-6.59263631480115
2463.8288,-6.36653148545891
2471.3288,-6.14040655612295
2478.8287,-5.91430172678071
2486.3286,-5.68819689743847
2493.8285,-5.46207196810251
2501.3284,-5.23773593820752
2508.8284,-5.0319120025275
2516.3283,-4.84870055978108
2523.8282,-4.68810160996825
2531.3281,-4.55011515308902
2538.828,-4.43474118914338
2546.3279,-4.34197971813134
2553.8279,-4.27181064005918
2561.3278,-4.22427415491433
2568.8277,-4.19935016270308
2576.3276,-4.1879132662771
2583.8275,-4.17657686981973
2591.3274,-4.16526057335607
2598.8274,-4.15394427689241
2606.3273,-4.14260788043504
2613.8272,-4.13129158397138
2621.3271,-4.11997528750772
2628.827,-4.10863889105035
2636.3269,-4.09732259458669
2643.8269,-4.08600629812303
2651.3268,-4.07469000165938
2658.8267,-4.063353605202
2666.3266,-4.05203730873834
2673.8265,-4.04076121226212
2681.3265,-4.042128011835
2688.8264,-4.06612740433519
2696.3263,-4.11271918977525
2703.8262,-4.18134056833107
2711.3261,-4.25671554477639
2718.826,-4.33209052122171
2726.326,-4.40748559766075
2733.8259,-4.48286057410607
2741.3258,-4.55823555055139
2748.8257,-4.63361052699671
2756.3256,-4.70898550344203
2763.8255,-4.78436047988735
2771.3255,-4.85973545633267
2778.8254,-4.93511043277799
2786.3253,-5.01048540922331
2793.8252,-5.08586038566863
2801.3251,-5.16123536211395
