lon,lat,PGA-0.0004
22.95787,40.59986,1.001565E+00
22.95768,40.59973,9.988037E-01
22.95749,40.59960,9.962822E-01
22.95732,40.59941,9.943973E-01
22.95720,40.59919,9.921546E-01
22.95716,40.59891,9.882922E-01
22.95726,40.59866,9.838969E-01
22.95741,40.59846,9.805347E-01
22.95760,40.59831,9.789619E-01
22.95780,40.59822,9.793749E-01
22.95801,40.59815,9.808804E-01
22.95821,40.59806,9.821242E-01
22.95841,40.59795,9.830061E-01
22.95861,40.59783,9.835274E-01
22.95880,40.59769,9.837450E-01
22.95898,40.59754,9.839622E-01
22.95917,40.59738,9.842681E-01
22.95935,40.59723,9.846119E-01
22.95953,40.59707,9.846913E-01
22.95970,40.59689,9.845439E-01
22.95986,40.59670,9.839050E-01
22.95999,40.59647,9.827042E-01
22.96011,40.59624,9.800510E-01
22.96024,40.59600,9.758515E-01
22.96035,40.59576,9.704131E-01
22.96045,40.59550,9.640127E-01
22.96054,40.59524,9.573117E-01
22.96063,40.59498,9.510514E-01
22.96072,40.59472,9.458503E-01
22.96081,40.59446,9.420626E-01
22.96091,40.59421,9.397637E-01
22.96101,40.59396,9.385702E-01
22.96116,40.59375,9.380730E-01
22.96133,40.59357,9.379962E-01
22.96152,40.59345,9.382964E-01
22.96172,40.59332,9.388661E-01
22.96191,40.59320,9.396992E-01
22.96211,40.59308,9.406458E-01
22.96231,40.59298,9.416789E-01
22.96252,40.59289,9.426498E-01
22.96273,40.59281,9.434889E-01
22.96293,40.59273,9.439920E-01
22.96315,40.59269,9.445035E-01
22.96336,40.59267,9.447698E-01
22.96358,40.59266,9.447211E-01
22.96380,40.59268,9.444830E-01
22.96401,40.59271,9.437108E-01
22.96423,40.59273,9.423782E-01
22.96444,40.59275,9.405732E-01
22.96466,40.59278,9.384475E-01
22.96487,40.59280,9.360204E-01
22.96509,40.59282,9.334670E-01
22.96531,40.59285,9.309302E-01
22.96552,40.59287,9.284264E-01
22.96574,40.59289,9.260954E-01
22.96595,40.59292,9.240216E-01
22.96617,40.59294,9.221851E-01
22.96639,40.59296,9.206355E-01
22.96660,40.59299,9.194042E-01
22.96682,40.59301,9.184185E-01
22.96703,40.59303,9.176781E-01
22.96725,40.59306,9.172078E-01
22.96747,40.59308,9.168935E-01
22.96768,40.59310,9.167361E-01
22.96790,40.59313,9.167617E-01
22.96811,40.59315,9.168580E-01
22.96833,40.59317,9.170597E-01
22.96854,40.59320,9.173791E-01
22.96876,40.59322,9.177451E-01
22.96898,40.59324,9.181833E-01
22.96919,40.59327,9.187217E-01
22.96941,40.59329,9.192929E-01
22.96962,40.59330,9.198741E-01
22.96984,40.59331,9.205171E-01
22.97006,40.59329,9.210886E-01
22.97026,40.59318,9.213156E-01
22.97043,40.59302,9.212552E-01
22.97057,40.59279,9.206873E-01
22.97067,40.59254,9.196794E-01
22.97072,40.59226,9.181724E-01
22.97073,40.59198,9.163945E-01
22.97071,40.59169,9.144964E-01
22.97068,40.59141,9.127155E-01
22.97065,40.59113,9.110772E-01
22.97062,40.59084,9.095548E-01
22.97059,40.59056,9.081925E-01
22.97056,40.59027,9.068593E-01
22.97053,40.58999,9.055478E-01
22.97050,40.58971,9.041325E-01
22.97047,40.58942,9.023911E-01
22.97044,40.58914,9.003510E-01
22.97042,40.58886,8.979452E-01
22.97042,40.58857,8.950240E-01
22.97046,40.58829,8.916807E-01
22.97049,40.58800,8.879664E-01
22.97052,40.58772,8.841903E-01
22.97052,40.58743,8.807495E-01
22.97049,40.58715,8.782137E-01
22.97042,40.58688,8.768827E-01
22.97032,40.58663,8.767900E-01
22.97019,40.58639,8.775375E-01
22.97007,40.58616,8.787080E-01
22.96995,40.58592,8.800052E-01
22.96984,40.58567,8.811922E-01
22.96978,40.58540,8.820922E-01
22.96977,40.58511,8.826552E-01
22.96976,40.58483,8.830419E-01
22.96973,40.58454,8.831906E-01
22.96968,40.58427,8.831145E-01
22.96963,40.58399,8.827524E-01
22.96957,40.58371,8.821931E-01
22.96955,40.58343,8.815244E-01
22.96955,40.58314,8.807576E-01
22.96955,40.58286,8.799800E-01
